name,year,headline,company,product,category,subject,publication,medium,format,link,description,location
Delaware State Lotteries,1860,Delaware State Lotteries,Bangs & Co.,,Broadsides Collection,"Price List, Gambling",,,advertisements,https://idn.duke.edu/ark:/87924/r4pk08t7k,,
Estate Sale!  By Order Of Executor.  By Louis D. DeSaussure.,1860,Estate Sale!  By Order Of Executor.  By Louis D. DeSaussure.,Mr. and Mrs. WM. Barnwell,,Broadsides Collection,"Children, African/African-American, Slaves",,,advertisements,https://idn.duke.edu/ark:/87924/r46971p6z,list of slaves ages and abilities.,
"Iron Ship Building.  Harrison Loring, City Point Works, South Boston,",1860,"Iron Ship Building.  Harrison Loring, City Point Works, South Boston,",City Point Works,,Broadsides Collection,Shipbuilding,,,"advertisements, black-and-white drawings",https://idn.duke.edu/ark:/87924/r4js9k088,additional ad for paper-hangings on back.,
Magnificent Lottery,1860,Magnificent Lottery,T. M. Ward & Co.,,Broadsides Collection,"Price List, Lottery",,,advertisements,https://idn.duke.edu/ark:/87924/r40r9nt53,,
Notice,1860,Notice,"Chas. Robertson, Geo. Greig, Ottenville & Klooz, G. W. Wessel",,Broadsides Collection,"Price List, Food",,,advertisements,https://idn.duke.edu/ark:/87924/r4j38nb1x,,
Philadelphia Weekly Illustrated --Stars & Stripes !,1860,Philadelphia Weekly Illustrated --Stars & Stripes !,Philadelphia Weekly Illustrated,,Broadsides Collection,"Price List, Magazines and Newspapers",,,"advertisements, color drawings",https://idn.duke.edu/ark:/87924/r48c9sv8b,,
Portable fences,1860,Portable fences,Vandemark,,Broadsides Collection,"Price List, Security",,,advertisements,https://idn.duke.edu/ark:/87924/r47p8w51n,,
Presidential Campaign of 1860,1860,Presidential Campaign of 1860,Republican Committee,,Broadsides Collection,"Price List, Speeches",,,advertisements,https://idn.duke.edu/ark:/87924/r4zk57d94,lists titles of speeches made by Republican Committee and their prices,
Spencer House Breakfast Card.,1860,Spencer House Breakfast Card.,Spencer House,,Broadsides Collection,Hotels and Restaurants,,,advertisements,https://idn.duke.edu/ark:/87924/r4319tw48,,
"The National Political Chart, and Map of the United States, Containing Accurate Portraits, from life, of the Candidates of each Party for President and Vice President, viz.: Bell, Everett, Lincoln, Hamlin, Douglas, Johnson, Breckenridge, and Lane.",1860,"The National Political Chart, and Map of the United States, Containing Accurate Portraits, from life, of the Candidates of each Party for President and Vice President, viz.: Bell, Everett, Lincoln, Hamlin, Douglas, Johnson, Breckenridge, and Lane.",John Walker and Young & Watson,,Broadsides Collection,Printing and Serials,,,advertisements,https://idn.duke.edu/ark:/87924/r4v40mn9h,ad contains two separate ads.,
